,Destination,Num_flights,Num_carriers,Hour_f,Price,Hour,stops,Date,Carrier,Flight_time_minutes
0,ABE,60,3,6,176,6,1,05-20,American Airlines,258
1,ABE,60,3,20,179,20,0,05-20,Delta,130
2,ABE,60,3,15,176,15,1,05-20,American Airlines,419
3,ABE,60,3,15,179,15,0,05-20,Delta,131
4,ABE,60,3,15,183,15,1,05-20,United Airlines,345
5,ABE,60,3,16,183,16,1,05-20,United Airlines,280
6,ABE,60,3,10,209,10,0,05-20,Delta,123
7,ABE,60,3,24,209,24,1,05-20,American Airlines,345
8,ABE,60,3,14,209,14,1,05-20,American Airlines,246
9,ABE,60,3,5,210,5,1,05-20,American Airlines,312
10,ABE,60,3,24,210,24,1,05-20,American Airlines,372
11,ABE,60,3,17,210,17,1,05-20,American Airlines,286
12,ABE,60,3,6,213,6,1,05-20,United Airlines,315
13,ABE,60,3,14,213,14,2,05-20,American Airlines,507
14,ABE,60,3,11,246,11,1,05-20,United Airlines,295
15,ABE,60,3,5,146,5,1,05-21,American Airlines,358
16,ABE,60,3,10,179,10,0,05-21,Delta,123
17,ABE,60,3,6,146,6,1,05-21,American Airlines,258
18,ABE,60,3,24,146,24,1,05-21,American Airlines,345
19,ABE,60,3,15,146,15,1,05-21,American Airlines,419
20,ABE,60,3,5,147,5,1,05-21,American Airlines,312
21,ABE,60,3,24,147,24,1,05-21,American Airlines,372
22,ABE,60,3,24,150,24,2,05-21,American Airlines,606
23,ABE,60,3,14,150,14,2,05-21,American Airlines,507
24,ABE,60,3,14,150,14,2,05-21,American Airlines,507
25,ABE,60,3,14,176,14,1,05-21,American Airlines,246
26,ABE,60,3,15,179,15,0,05-21,Delta,131
27,ABE,60,3,20,179,20,0,05-21,Delta,130
28,ABE,60,3,24,180,24,2,05-21,American Airlines,363
29,ABE,60,3,15,180,15,2,05-21,American Airlines,435
30,ABE,60,3,5,146,5,1,05-22,American Airlines,358
31,ABE,60,3,10,179,10,0,05-22,Delta,123
32,ABE,60,3,6,146,6,1,05-22,American Airlines,258
33,ABE,60,3,24,146,24,1,05-22,American Airlines,345
34,ABE,60,3,14,146,14,1,05-22,American Airlines,246
35,ABE,60,3,5,147,5,1,05-22,American Airlines,312
36,ABE,60,3,24,150,24,2,05-22,American Airlines,606
37,ABE,60,3,14,150,14,2,05-22,American Airlines,507
38,ABE,60,3,15,176,15,1,05-22,American Airlines,419
39,ABE,60,3,15,179,15,0,05-22,Delta,131
40,ABE,60,3,20,179,20,0,05-22,Delta,130
41,ABE,60,3,9,180,9,2,05-22,American Airlines,531
42,ABE,60,3,6,183,6,1,05-22,United Airlines,315
43,ABE,60,3,9,183,9,1,05-22,United Airlines,430
44,ABE,60,3,11,183,11,1,05-22,United Airlines,295
45,ABE,60,3,5,147,5,1,05-24,American Airlines,312
46,ABE,60,3,20,179,20,0,05-24,Delta,130
47,ABE,60,3,10,209,10,0,05-24,Delta,123
48,ABE,60,3,15,209,15,0,05-24,Delta,131
49,ABE,60,3,24,210,24,1,05-24,American Airlines,372
50,ABE,60,3,6,213,6,1,05-24,United Airlines,315
51,ABE,60,3,15,246,15,1,05-24,United Airlines,345
52,ABE,60,3,16,246,16,1,05-24,United Airlines,270
53,ABE,60,3,5,266,5,1,05-24,American Airlines,358
54,ABE,60,3,6,266,6,1,05-24,American Airlines,258
55,ABE,60,3,24,266,24,1,05-24,American Airlines,345
56,ABE,60,3,15,266,15,1,05-24,American Airlines,419
57,ABE,60,3,17,267,17,1,05-24,American Airlines,286
58,ABE,60,3,14,270,14,2,05-24,American Airlines,507
59,ABE,60,3,14,316,14,1,05-24,American Airlines,246
60,ABQ,31,4,21,196,21,1,05-19,Multiple Airlines,809
61,ABQ,31,4,20,259,20,0,05-19,Delta,203
62,ABQ,31,4,21,210,21,1,05-19,Frontier,1363
63,ABQ,31,4,9,242,9,1,05-19,American Airlines,399
64,ABQ,31,4,8,242,8,1,05-19,American Airlines,464
65,ABQ,31,4,11,259,11,0,05-19,Delta,204
66,ABQ,31,4,6,276,6,1,05-19,American Airlines,344
67,ABQ,31,4,8,276,8,1,05-19,American Airlines,349
68,ABQ,31,4,6,276,6,1,05-19,American Airlines,464
69,ABQ,31,4,9,282,9,1,05-19,American Airlines,520
70,ABQ,31,4,6,282,6,1,05-19,American Airlines,579
71,ABQ,31,4,8,282,8,1,05-19,American Airlines,585
72,ABQ,31,4,6,282,6,1,05-19,American Airlines,700
73,ABQ,31,4,9,282,9,1,05-19,American Airlines,757
74,ABQ,31,4,8,282,8,1,05-19,American Airlines,822
75,ABQ,31,4,21,100,21,1,05-21,Multiple Airlines,1346
76,ABQ,31,4,20,259,20,0,05-21,Delta,203
77,ABQ,31,4,24,171,24,1,05-21,American Airlines,305
78,ABQ,31,4,6,171,6,1,05-21,American Airlines,344
79,ABQ,31,4,10,171,10,1,05-21,American Airlines,344
80,ABQ,31,4,19,171,19,1,05-21,American Airlines,351
81,ABQ,31,4,9,171,9,1,05-21,American Airlines,399
82,ABQ,31,4,17,171,17,1,05-21,American Airlines,420
83,ABQ,31,4,18,171,18,1,05-21,American Airlines,431
84,ABQ,31,4,8,171,8,1,05-21,American Airlines,464
85,ABQ,31,4,10,171,10,1,05-21,American Airlines,465
86,ABQ,31,4,16,208,16,1,05-21,American Airlines,318
87,ABQ,31,4,8,208,8,1,05-21,American Airlines,349
88,ABQ,31,4,7,208,7,1,05-21,American Airlines,417
89,ABQ,31,4,14,208,14,1,05-21,American Airlines,447
90,ABQ,31,4,6,208,6,1,05-21,American Airlines,464
91,ABY,75,2,10,135,10,0,05-19,Delta,58
92,ABY,75,2,21,135,21,0,05-19,Delta,54
93,ABY,75,2,14,195,14,0,05-19,Delta,54
94,ABY,75,2,6,2232,6,0,05-19,Linear Air Taxi,56
95,ABY,75,2,7,2232,7,0,05-19,Linear Air Taxi,56
96,ABY,75,2,8,2232,8,0,05-19,Linear Air Taxi,56
97,ABY,75,2,9,2232,9,0,05-19,Linear Air Taxi,56
98,ABY,75,2,10,2232,10,0,05-19,Linear Air Taxi,56
99,ABY,75,2,11,2232,11,0,05-19,Linear Air Taxi,56
100,ABY,75,2,24,2232,24,0,05-19,Linear Air Taxi,56
101,ABY,75,2,13,2232,13,0,05-19,Linear Air Taxi,56
102,ABY,75,2,14,2232,14,0,05-19,Linear Air Taxi,56
103,ABY,75,2,15,2232,15,0,05-19,Linear Air Taxi,56
104,ABY,75,2,16,2232,16,0,05-19,Linear Air Taxi,56
105,ABY,75,2,17,2232,17,0,05-19,Linear Air Taxi,56
106,ABY,75,2,21,135,21,0,05-20,Delta,54
107,ABY,75,2,10,195,10,0,05-20,Delta,58
108,ABY,75,2,14,195,14,0,05-20,Delta,54
109,ABY,75,2,6,2232,6,0,05-20,Linear Air Taxi,56
110,ABY,75,2,7,2232,7,0,05-20,Linear Air Taxi,56
111,ABY,75,2,8,2232,8,0,05-20,Linear Air Taxi,56
112,ABY,75,2,9,2232,9,0,05-20,Linear Air Taxi,56
113,ABY,75,2,10,2232,10,0,05-20,Linear Air Taxi,56
114,ABY,75,2,11,2232,11,0,05-20,Linear Air Taxi,56
115,ABY,75,2,24,2232,24,0,05-20,Linear Air Taxi,56
116,ABY,75,2,13,2232,13,0,05-20,Linear Air Taxi,56
117,ABY,75,2,14,2232,14,0,05-20,Linear Air Taxi,56
118,ABY,75,2,15,2232,15,0,05-20,Linear Air Taxi,56
119,ABY,75,2,16,2232,16,0,05-20,Linear Air Taxi,56
120,ABY,75,2,17,2232,17,0,05-20,Linear Air Taxi,56
121,ABY,75,2,10,135,10,0,05-21,Delta,58
122,ABY,75,2,14,135,14,0,05-21,Delta,54
123,ABY,75,2,21,135,21,0,05-21,Delta,54
124,ABY,75,2,6,2232,6,0,05-21,Linear Air Taxi,56
125,ABY,75,2,7,2232,7,0,05-21,Linear Air Taxi,56
126,ABY,75,2,8,2232,8,0,05-21,Linear Air Taxi,56
127,ABY,75,2,9,2232,9,0,05-21,Linear Air Taxi,56
128,ABY,75,2,10,2232,10,0,05-21,Linear Air Taxi,56
129,ABY,75,2,11,2232,11,0,05-21,Linear Air Taxi,56
130,ABY,75,2,24,2232,24,0,05-21,Linear Air Taxi,56
131,ABY,75,2,13,2232,13,0,05-21,Linear Air Taxi,56
132,ABY,75,2,14,2232,14,0,05-21,Linear Air Taxi,56
133,ABY,75,2,15,2232,15,0,05-21,Linear Air Taxi,56
134,ABY,75,2,16,2232,16,0,05-21,Linear Air Taxi,56
135,ABY,75,2,17,2232,17,0,05-21,Linear Air Taxi,56
136,ABY,75,2,10,135,10,0,05-23,Delta,58
137,ABY,75,2,21,135,21,0,05-23,Delta,54
138,ABY,75,2,14,195,14,0,05-23,Delta,54
139,ABY,75,2,6,2232,6,0,05-23,Linear Air Taxi,56
140,ABY,75,2,7,2232,7,0,05-23,Linear Air Taxi,56
141,ABY,75,2,8,2232,8,0,05-23,Linear Air Taxi,56
142,ABY,75,2,9,2232,9,0,05-23,Linear Air Taxi,56
143,ABY,75,2,10,2232,10,0,05-23,Linear Air Taxi,56
144,ABY,75,2,11,2232,11,0,05-23,Linear Air Taxi,56
145,ABY,75,2,24,2232,24,0,05-23,Linear Air Taxi,56
146,ABY,75,2,13,2232,13,0,05-23,Linear Air Taxi,56
147,ABY,75,2,14,2232,14,0,05-23,Linear Air Taxi,56
148,ABY,75,2,15,2232,15,0,05-23,Linear Air Taxi,56
149,ABY,75,2,16,2232,16,0,05-23,Linear Air Taxi,56
150,ABY,75,2,17,2232,17,0,05-23,Linear Air Taxi,56
151,ABY,75,2,10,135,10,0,05-25,Delta,57
152,ABY,75,2,19,135,19,0,05-25,Delta,53
153,ABY,75,2,6,2232,6,0,05-25,Linear Air Taxi,56
154,ABY,75,2,7,2232,7,0,05-25,Linear Air Taxi,56
155,ABY,75,2,8,2232,8,0,05-25,Linear Air Taxi,56
156,ABY,75,2,9,2232,9,0,05-25,Linear Air Taxi,56
157,ABY,75,2,10,2232,10,0,05-25,Linear Air Taxi,56
158,ABY,75,2,11,2232,11,0,05-25,Linear Air Taxi,56
159,ABY,75,2,24,2232,24,0,05-25,Linear Air Taxi,56
160,ABY,75,2,13,2232,13,0,05-25,Linear Air Taxi,56
161,ABY,75,2,14,2232,14,0,05-25,Linear Air Taxi,56
162,ABY,75,2,15,2232,15,0,05-25,Linear Air Taxi,56
163,ABY,75,2,16,2232,16,0,05-25,Linear Air Taxi,56
164,ABY,75,2,17,2232,17,0,05-25,Linear Air Taxi,56
165,ABY,75,2,18,2232,18,0,05-25,Linear Air Taxi,56
166,ACY,4,1,15,54,15,0,05-21,Spirit Airlines,119
167,ACY,4,1,15,62,15,0,05-23,Spirit Airlines,119
168,ACY,4,1,15,110,15,0,05-24,Spirit Airlines,119
169,ACY,4,1,15,62,15,0,05-25,Spirit Airlines,119
170,AEX,54,3,9,179,9,0,05-19,Delta,99
171,AEX,54,3,13,179,13,0,05-19,Delta,102
172,AEX,54,3,16,179,16,0,05-19,Delta,103
173,AEX,54,3,21,179,21,0,05-19,Delta,105
174,AEX,54,3,18,187,18,1,05-19,American Airlines,290
175,AEX,54,3,8,187,8,1,05-19,American Airlines,297
176,AEX,54,3,16,187,16,1,05-19,American Airlines,405
177,AEX,54,3,6,187,6,1,05-19,American Airlines,412
178,AEX,54,3,24,267,24,1,05-19,American Airlines,260
179,AEX,54,3,10,267,10,1,05-19,American Airlines,420
180,AEX,54,3,5,270,5,2,05-19,American Airlines,461
181,AEX,54,3,15,316,15,1,05-19,United Airlines,350
182,AEX,54,3,24,407,24,1,05-19,United Airlines,258
183,AEX,54,3,15,433,15,2,05-19,American Airlines,473
184,AEX,54,3,9,179,9,0,05-22,Delta,99
185,AEX,54,3,13,179,13,0,05-22,Delta,102
186,AEX,54,3,16,179,16,0,05-22,Delta,103
187,AEX,54,3,21,179,21,0,05-22,Delta,105
188,AEX,54,3,24,187,24,1,05-22,United Airlines,258
189,AEX,54,3,24,187,24,1,05-22,American Airlines,260
190,AEX,54,3,7,187,7,1,05-22,United Airlines,284
191,AEX,54,3,18,187,18,1,05-22,American Airlines,290
192,AEX,54,3,8,187,8,1,05-22,American Airlines,297
193,AEX,54,3,16,187,16,1,05-22,American Airlines,405
194,AEX,54,3,6,187,6,1,05-22,American Airlines,412
195,AEX,54,3,10,187,10,1,05-22,American Airlines,420
196,AEX,54,3,5,190,5,2,05-22,American Airlines,461
197,AEX,54,3,17,267,17,1,05-22,United Airlines,239
198,AEX,54,3,15,267,15,1,05-22,United Airlines,350
199,AEX,54,3,9,179,9,0,05-23,Delta,99
200,AEX,54,3,13,179,13,0,05-23,Delta,102
201,AEX,54,3,16,179,16,0,05-23,Delta,103
202,AEX,54,3,21,179,21,0,05-23,Delta,105
203,AEX,54,3,7,187,7,1,05-23,United Airlines,284
204,AEX,54,3,8,187,8,1,05-23,American Airlines,297
205,AEX,54,3,6,187,6,1,05-23,American Airlines,412
206,AEX,54,3,24,267,24,1,05-23,United Airlines,258
207,AEX,54,3,9,267,9,1,05-23,United Airlines,428
208,AEX,54,3,5,270,5,2,05-23,American Airlines,461
209,AEX,54,3,24,316,24,1,05-23,American Airlines,260
210,AEX,54,3,16,316,16,1,05-23,American Airlines,405
211,AEX,54,3,10,316,10,1,05-23,American Airlines,420
212,AEX,54,3,18,407,18,1,05-23,American Airlines,290
213,AEX,54,3,15,507,15,2,05-23,American Airlines,470
214,AEX,54,3,10,179,10,0,05-25,Delta,100
215,AEX,54,3,7,187,7,1,05-25,United Airlines,284
216,AEX,54,3,8,187,8,1,05-25,American Airlines,297
217,AEX,54,3,16,187,16,1,05-25,American Airlines,405
218,AEX,54,3,6,187,6,1,05-25,American Airlines,412
219,AEX,54,3,5,190,5,2,05-25,American Airlines,447
220,AEX,54,3,19,259,19,0,05-25,Delta,102
221,AEX,54,3,24,316,24,1,05-25,American Airlines,260
222,AEX,54,3,15,316,15,1,05-25,United Airlines,350
223,AEX,54,3,10,316,10,1,05-25,American Airlines,420
224,AGS,90,3,19,139,19,0,05-19,Delta,55
225,AGS,90,3,9,139,9,0,05-19,Delta,60
226,AGS,90,3,13,139,13,0,05-19,Delta,58
227,AGS,90,3,15,139,15,0,05-19,Delta,61
228,AGS,90,3,21,139,21,0,05-19,Delta,61
229,AGS,90,3,23,139,23,0,05-19,Delta,57
230,AGS,90,3,11,199,11,0,05-19,Delta,54
231,AGS,90,3,8,206,8,1,05-19,American Airlines,228
