,Origin,Destination,Date,Carrier,Price,Depart_Time,Dep_meridiem,Arrive_time,Arrival_time_meridiem,Duration,Flight_pattern
0,ATL,ABE,05-20,American Airlines,$176,6:56,am,11:14,am,4h 18m,1 stop
1,ATL,ABE,05-20,Delta,$179,8:35,pm,10:45,pm,2h 10m,nonstop
2,ATL,ABE,05-20,American Airlines,$176,3:19,pm,10:18,pm,6h 59m,1 stop
3,ATL,ABE,05-20,Delta,$179,3:07,pm,5:18,pm,2h 11m,nonstop
4,ATL,ABE,05-20,United Airlines,$183,3:40,pm,9:25,pm,5h 45m,1 stop
5,ATL,ABE,05-20,United Airlines,$183,4:45,pm,9:25,pm,4h 40m,1 stop
6,ATL,ABE,05-20,Delta,$209,10:25,am,12:28,pm,2h 03m,nonstop
7,ATL,ABE,05-20,American Airlines,$209,12:28,pm,6:13,pm,5h 45m,1 stop
8,ATL,ABE,05-20,American Airlines,$209,2:07,pm,6:13,pm,4h 06m,1 stop
9,ATL,ABE,05-20,American Airlines,$210,5:05,am,10:17,am,5h 12m,1 stop
10,ATL,ABE,05-20,American Airlines,$210,12:19,pm,6:31,pm,6h 12m,1 stop
11,ATL,ABE,05-20,American Airlines,$210,5:48,pm,10:34,pm,4h 46m,1 stop
12,ATL,ABE,05-20,United Airlines,$213,6:00,am,11:15,am,5h 15m,1 stop
13,ATL,ABE,05-20,American Airlines,$213,2:07,pm,10:34,pm,8h 27m,2 stops
14,ATL,ABE,05-20,United Airlines,$246,11:45,am,4:40,pm,4h 55m,1 stop
15,ATL,ABE,05-21,American Airlines,$146,5:16,am,11:14,am,5h 58m,1 stop
16,ATL,ABE,05-21,Delta,$179,10:25,am,12:28,pm,2h 03m,nonstop
17,ATL,ABE,05-21,American Airlines,$146,6:56,am,11:14,am,4h 18m,1 stop
18,ATL,ABE,05-21,American Airlines,$146,12:28,pm,6:13,pm,5h 45m,1 stop
19,ATL,ABE,05-21,American Airlines,$146,3:19,pm,10:18,pm,6h 59m,1 stop
20,ATL,ABE,05-21,American Airlines,$147,5:05,am,10:17,am,5h 12m,1 stop
21,ATL,ABE,05-21,American Airlines,$147,12:19,pm,6:31,pm,6h 12m,1 stop
22,ATL,ABE,05-21,American Airlines,$150,12:28,pm,10:34,pm,10h 06m,2 stops
23,ATL,ABE,05-21,American Airlines,$150,2:07,pm,10:34,pm,8h 27m,2 stops
24,ATL,ABE,05-21,American Airlines,$150,2:07,pm,10:34,pm,8h 27m,2 stops
25,ATL,ABE,05-21,American Airlines,$176,2:07,pm,6:13,pm,4h 06m,1 stop
26,ATL,ABE,05-21,Delta,$179,3:07,pm,5:18,pm,2h 11m,nonstop
27,ATL,ABE,05-21,Delta,$179,8:35,pm,10:45,pm,2h 10m,nonstop
28,ATL,ABE,05-21,American Airlines,$180,12:28,pm,6:31,pm,6h 03m,2 stops
29,ATL,ABE,05-21,American Airlines,$180,3:19,pm,10:34,pm,7h 15m,2 stops
30,ATL,ABE,05-22,American Airlines,$146,5:16,am,11:14,am,5h 58m,1 stop
31,ATL,ABE,05-22,Delta,$179,10:25,am,12:28,pm,2h 03m,nonstop
32,ATL,ABE,05-22,American Airlines,$146,6:56,am,11:14,am,4h 18m,1 stop
33,ATL,ABE,05-22,American Airlines,$146,12:28,pm,6:13,pm,5h 45m,1 stop
34,ATL,ABE,05-22,American Airlines,$146,2:07,pm,6:13,pm,4h 06m,1 stop
35,ATL,ABE,05-22,American Airlines,$147,5:05,am,10:17,am,5h 12m,1 stop
36,ATL,ABE,05-22,American Airlines,$150,12:28,pm,10:34,pm,10h 06m,2 stops
37,ATL,ABE,05-22,American Airlines,$150,2:07,pm,10:34,pm,8h 27m,2 stops
38,ATL,ABE,05-22,American Airlines,$176,3:19,pm,10:18,pm,6h 59m,1 stop
39,ATL,ABE,05-22,Delta,$179,3:07,pm,5:18,pm,2h 11m,nonstop
40,ATL,ABE,05-22,Delta,$179,8:35,pm,10:45,pm,2h 10m,nonstop
41,ATL,ABE,05-22,American Airlines,$180,9:40,am,6:31,pm,8h 51m,2 stops
42,ATL,ABE,05-22,United Airlines,$183,6:00,am,11:15,am,5h 15m,1 stop
43,ATL,ABE,05-22,United Airlines,$183,9:30,am,4:40,pm,7h 10m,1 stop
44,ATL,ABE,05-22,United Airlines,$183,11:45,am,4:40,pm,4h 55m,1 stop
45,ATL,ABE,05-24,American Airlines,$147,5:05,am,10:17,am,5h 12m,1 stop
46,ATL,ABE,05-24,Delta,$179,8:35,pm,10:45,pm,2h 10m,nonstop
47,ATL,ABE,05-24,Delta,$209,10:25,am,12:28,pm,2h 03m,nonstop
48,ATL,ABE,05-24,Delta,$209,3:07,pm,5:18,pm,2h 11m,nonstop
49,ATL,ABE,05-24,American Airlines,$210,12:19,pm,6:31,pm,6h 12m,1 stop
50,ATL,ABE,05-24,United Airlines,$213,6:00,am,11:15,am,5h 15m,1 stop
51,ATL,ABE,05-24,United Airlines,$246,3:40,pm,9:25,pm,5h 45m,1 stop
52,ATL,ABE,05-24,United Airlines,$246,4:55,pm,9:25,pm,4h 30m,1 stop
53,ATL,ABE,05-24,American Airlines,$266,5:16,am,11:14,am,5h 58m,1 stop
54,ATL,ABE,05-24,American Airlines,$266,6:56,am,11:14,am,4h 18m,1 stop
55,ATL,ABE,05-24,American Airlines,$266,12:28,pm,6:13,pm,5h 45m,1 stop
56,ATL,ABE,05-24,American Airlines,$266,3:19,pm,10:18,pm,6h 59m,1 stop
57,ATL,ABE,05-24,American Airlines,$267,5:48,pm,10:34,pm,4h 46m,1 stop
58,ATL,ABE,05-24,American Airlines,$270,2:07,pm,10:34,pm,8h 27m,2 stops
59,ATL,ABE,05-24,American Airlines,$316,2:07,pm,6:13,pm,4h 06m,1 stop
60,ATL,ABQ,05-19,Multiple Airlines,$196,9:07,pm,8:36,am,13h 29m,"1 stop 

"
61,ATL,ABQ,05-19,Delta,$259,8:02,pm,9:25,pm,3h 23m,nonstop
62,ATL,ABQ,05-19,Frontier,$210,9:32,pm,6:15,pm,22h 43m,1 stop
63,ATL,ABQ,05-19,American Airlines,$242,9:05,am,1:44,pm,6h 39m,1 stop
64,ATL,ABQ,05-19,American Airlines,$242,8:00,am,1:44,pm,7h 44m,1 stop
65,ATL,ABQ,05-19,Delta,$259,11:35,am,12:59,pm,3h 24m,nonstop
66,ATL,ABQ,05-19,American Airlines,$276,6:05,am,9:49,am,5h 44m,1 stop
67,ATL,ABQ,05-19,American Airlines,$276,8:00,am,11:49,am,5h 49m,1 stop
68,ATL,ABQ,05-19,American Airlines,$276,6:05,am,11:49,am,7h 44m,1 stop
69,ATL,ABQ,05-19,American Airlines,$282,9:05,am,3:45,pm,8h 40m,1 stop
70,ATL,ABQ,05-19,American Airlines,$282,6:05,am,1:44,pm,9h 39m,1 stop
71,ATL,ABQ,05-19,American Airlines,$282,8:00,am,3:45,pm,9h 45m,1 stop
72,ATL,ABQ,05-19,American Airlines,$282,6:05,am,3:45,pm,11h 40m,1 stop
73,ATL,ABQ,05-19,American Airlines,$282,9:05,am,7:42,pm,12h 37m,1 stop
74,ATL,ABQ,05-19,American Airlines,$282,8:00,am,7:42,pm,13h 42m,1 stop
75,ATL,ABQ,05-21,Multiple Airlines,$100,9:49,pm,6:15,pm,22h 26m,1 stop
76,ATL,ABQ,05-21,Delta,$259,8:02,pm,9:25,pm,3h 23m,nonstop
77,ATL,ABQ,05-21,American Airlines,$171,12:40,pm,3:45,pm,5h 05m,1 stop
78,ATL,ABQ,05-21,American Airlines,$171,6:05,am,9:49,am,5h 44m,1 stop
79,ATL,ABQ,05-21,American Airlines,$171,10:00,am,1:44,pm,5h 44m,1 stop
80,ATL,ABQ,05-21,American Airlines,$171,7:39,pm,11:30,pm,5h 51m,1 stop
81,ATL,ABQ,05-21,American Airlines,$171,9:05,am,1:44,pm,6h 39m,1 stop
82,ATL,ABQ,05-21,American Airlines,$171,5:38,pm,10:38,pm,7h 00m,1 stop
83,ATL,ABQ,05-21,American Airlines,$171,6:19,pm,11:30,pm,7h 11m,1 stop
84,ATL,ABQ,05-21,American Airlines,$171,8:00,am,1:44,pm,7h 44m,1 stop
85,ATL,ABQ,05-21,American Airlines,$171,10:00,am,3:45,pm,7h 45m,1 stop
86,ATL,ABQ,05-21,American Airlines,$208,4:24,pm,7:42,pm,5h 18m,1 stop
87,ATL,ABQ,05-21,American Airlines,$208,8:00,am,11:49,am,5h 49m,1 stop
88,ATL,ABQ,05-21,American Airlines,$208,7:28,am,12:25,pm,6h 57m,1 stop
89,ATL,ABQ,05-21,American Airlines,$208,2:15,pm,7:42,pm,7h 27m,1 stop
90,ATL,ABQ,05-21,American Airlines,$208,6:05,am,11:49,am,7h 44m,1 stop
91,ATL,ABY,05-19,Delta,$135,10:31,am,11:29,am,0h 58m,nonstop
92,ATL,ABY,05-19,Delta,$135,9:21,pm,10:15,pm,0h 54m,nonstop
93,ATL,ABY,05-19,Delta,$195,2:55,pm,3:49,pm,0h 54m,nonstop
94,ATL,ABY,05-19,Linear Air Taxi,$2232,6:00,am,6:56,am,0h 56m,nonstop
95,ATL,ABY,05-19,Linear Air Taxi,$2232,7:00,am,7:56,am,0h 56m,nonstop
96,ATL,ABY,05-19,Linear Air Taxi,$2232,8:00,am,8:56,am,0h 56m,nonstop
97,ATL,ABY,05-19,Linear Air Taxi,$2232,9:00,am,9:56,am,0h 56m,nonstop
98,ATL,ABY,05-19,Linear Air Taxi,$2232,10:00,am,10:56,am,0h 56m,nonstop
99,ATL,ABY,05-19,Linear Air Taxi,$2232,11:00,am,11:56,am,0h 56m,nonstop
100,ATL,ABY,05-19,Linear Air Taxi,$2232,12:00,pm,12:56,pm,0h 56m,nonstop
101,ATL,ABY,05-19,Linear Air Taxi,$2232,1:00,pm,1:56,pm,0h 56m,nonstop
102,ATL,ABY,05-19,Linear Air Taxi,$2232,2:00,pm,2:56,pm,0h 56m,nonstop
103,ATL,ABY,05-19,Linear Air Taxi,$2232,3:00,pm,3:56,pm,0h 56m,nonstop
104,ATL,ABY,05-19,Linear Air Taxi,$2232,4:00,pm,4:56,pm,0h 56m,nonstop
105,ATL,ABY,05-19,Linear Air Taxi,$2232,5:00,pm,5:56,pm,0h 56m,nonstop
106,ATL,ABY,05-20,Delta,$135,9:21,pm,10:15,pm,0h 54m,nonstop
