,0
0,812.7890625
1,812.7890625
2,3151464286417842.5
3,3151464286417842.5
4,3151464286417842.5
5,3151464286417842.5
6,3151464286417842.5
7,3151464286417842.5
8,3151464286417842.5
9,3151464286417842.5
10,3151464286417842.5
11,3151464286417814.0
12,3151464286417814.0
13,3151464286417814.0
14,3151464286417814.0
15,3151464286417814.0
16,3151464286417814.0
17,3151464286417814.0
18,3151464286417897.0
19,3151464286417897.0
20,3151464286417897.0
21,3151464286417897.0
22,3151464286417897.0
23,3151464286417897.0
24,3151464286417897.0
25,3151464286417897.0
26,3151464286417897.0
27,3151464286417901.5
28,3151464286417901.5
29,3151464286417901.5
30,3151464286417901.5
31,3151464286417901.5
32,3151464286417901.5
33,3151464286417901.5
34,3151464286417901.5
35,377.2578125
36,3151464286417814.0
37,3151464286417692.5
38,371.1640625
39,3151464286417834.0
40,3151464286417829.5
41,3151464286417792.0
42,343.5234375
43,3151464286417865.0
44,3151464286417824.0
